Fold 1
Train loss: 0.0276, Validation loss: 0.1593, Validation acc: 0.9545
Train loss: 0.0264, Validation loss: 0.1655, Validation acc: 0.9530
Train loss: 0.0268, Validation loss: 0.1679, Validation acc: 0.9530
Train loss: 0.0254, Validation loss: 0.1642, Validation acc: 0.9540
Train loss: 0.0243, Validation loss: 0.1655, Validation acc: 0.9537
Train loss: 0.0245, Validation loss: 0.1744, Validation acc: 0.9527
Train loss: 0.0248, Validation loss: 0.1632, Validation acc: 0.9537
Train loss: 0.0236, Validation loss: 0.1691, Validation acc: 0.9524
Fold 4
Train loss: 0.6891, Validation loss: 0.6814, Validation acc: 0.7576
Train loss: 0.6390, Validation loss: 0.5384, Validation acc: 0.7994
Train loss: 0.4095, Validation loss: 0.3131, Validation acc: 0.8766
Train loss: 0.2866, Validation loss: 0.2506, Validation acc: 0.9087
Train loss: 0.2496, Validation loss: 0.2452, Validation acc: 0.9157
Train loss: 0.2338, Validation loss: 0.2181, Validation acc: 0.9223
Train loss: 0.2216, Validation loss: 0.2073, Validation acc: 0.9284
Train loss: 0.2127, Validation loss: 0.2005, Validation acc: 0.9298
Train loss: 0.2059, Validation loss: 0.2108, Validation acc: 0.9243
Train loss: 0.1989, Validation loss: 0.1912, Validation acc: 0.9343
Train loss: 0.1939, Validation loss: 0.1874, Validation acc: 0.9353
Train loss: 0.1902, Validation loss: 0.1987, Validation acc: 0.9289
Train loss: 0.1857, Validation loss: 0.1805, Validation acc: 0.9399
Train loss: 0.1825, Validation loss: 0.1776, Validation acc: 0.9416
Train loss: 0.1785, Validation loss: 0.1777, Validation acc: 0.9419
Train loss: 0.1758, Validation loss: 0.1826, Validation acc: 0.9364
Train loss: 0.1726, Validation loss: 0.1710, Validation acc: 0.9443
Train loss: 0.1689, Validation loss: 0.1687, Validation acc: 0.9448
Train loss: 0.1671, Validation loss: 0.1681, Validation acc: 0.9448
Train loss: 0.1633, Validation loss: 0.1651, Validation acc: 0.9468
Train loss: 0.1611, Validation loss: 0.1708, Validation acc: 0.9427
Train loss: 0.1587, Validation loss: 0.1717, Validation acc: 0.9398
Train loss: 0.1556, Validation loss: 0.1620, Validation acc: 0.9472
Train loss: 0.1526, Validation loss: 0.1680, Validation acc: 0.9410
Train loss: 0.1500, Validation loss: 0.1582, Validation acc: 0.9485
Train loss: 0.1475, Validation loss: 0.1574, Validation acc: 0.9479
Train loss: 0.1455, Validation loss: 0.1765, Validation acc: 0.9360
Train loss: 0.1423, Validation loss: 0.1547, Validation acc: 0.9483
Train loss: 0.1395, Validation loss: 0.1532, Validation acc: 0.9489
Train loss: 0.1380, Validation loss: 0.1529, Validation acc: 0.9485
Train loss: 0.1353, Validation loss: 0.1511, Validation acc: 0.9496
Train loss: 0.1333, Validation loss: 0.1793, Validation acc: 0.9350
Train loss: 0.1312, Validation loss: 0.2420, Validation acc: 0.9077
Train loss: 0.1276, Validation loss: 0.1478, Validation acc: 0.9516
Train loss: 0.1256, Validation loss: 0.1484, Validation acc: 0.9502
Train loss: 0.1236, Validation loss: 0.1496, Validation acc: 0.9513
Train loss: 0.1203, Validation loss: 0.1497, Validation acc: 0.9489
Train loss: 0.1185, Validation loss: 0.1462, Validation acc: 0.9527
Train loss: 0.1174, Validation loss: 0.1445, Validation acc: 0.9533
Train loss: 0.1140, Validation loss: 0.1795, Validation acc: 0.9371
Train loss: 0.1125, Validation loss: 0.1431, Validation acc: 0.9526
Train loss: 0.1092, Validation loss: 0.1428, Validation acc: 0.9531
Train loss: 0.1072, Validation loss: 0.1453, Validation acc: 0.9527
Train loss: 0.1065, Validation loss: 0.1859, Validation acc: 0.9336
Train loss: 0.1027, Validation loss: 0.1441, Validation acc: 0.9538
Train loss: 0.1010, Validation loss: 0.1412, Validation acc: 0.9544
Train loss: 0.0992, Validation loss: 0.1421, Validation acc: 0.9545
Train loss: 0.0966, Validation loss: 0.1438, Validation acc: 0.9530
Train loss: 0.0940, Validation loss: 0.1401, Validation acc: 0.9536
Train loss: 0.0932, Validation loss: 0.1394, Validation acc: 0.9540
Train loss: 0.0915, Validation loss: 0.1417, Validation acc: 0.9538
Train loss: 0.0894, Validation loss: 0.1422, Validation acc: 0.9537
Train loss: 0.0875, Validation loss: 0.1395, Validation acc: 0.9550
Train loss: 0.0865, Validation loss: 0.1381, Validation acc: 0.9557
Train loss: 0.0830, Validation loss: 0.1527, Validation acc: 0.9523
Train loss: 0.0812, Validation loss: 0.1425, Validation acc: 0.9519
Train loss: 0.0796, Validation loss: 0.1393, Validation acc: 0.9540
Train loss: 0.0792, Validation loss: 0.1726, Validation acc: 0.9431
Train loss: 0.0763, Validation loss: 0.1956, Validation acc: 0.9291
Train loss: 0.0753, Validation loss: 0.1388, Validation acc: 0.9552
Train loss: 0.0723, Validation loss: 0.1386, Validation acc: 0.9568
Train loss: 0.0711, Validation loss: 0.1392, Validation acc: 0.9558
Train loss: 0.0688, Validation loss: 0.1398, Validation acc: 0.9568
Train loss: 0.0669, Validation loss: 0.1409, Validation acc: 0.9552
Train loss: 0.0670, Validation loss: 0.1442, Validation acc: 0.9561
Train loss: 0.0624, Validation loss: 0.1447, Validation acc: 0.9561
Train loss: 0.0629, Validation loss: 0.1461, Validation acc: 0.9565
Train loss: 0.0609, Validation loss: 0.1401, Validation acc: 0.9551
Train loss: 0.0589, Validation loss: 0.1414, Validation acc: 0.9540
Train loss: 0.0582, Validation loss: 0.1416, Validation acc: 0.9562
Train loss: 0.0561, Validation loss: 0.1552, Validation acc: 0.9512
Train loss: 0.0548, Validation loss: 0.1447, Validation acc: 0.9552
Train loss: 0.0536, Validation loss: 0.1405, Validation acc: 0.9574
Train loss: 0.0516, Validation loss: 0.1417, Validation acc: 0.9569
Train loss: 0.0505, Validation loss: 0.1503, Validation acc: 0.9559
Train loss: 0.0477, Validation loss: 0.1466, Validation acc: 0.9555
Train loss: 0.0472, Validation loss: 0.1541, Validation acc: 0.9543
Train loss: 0.0467, Validation loss: 0.1453, Validation acc: 0.9574
Train loss: 0.0461, Validation loss: 0.1414, Validation acc: 0.9568
Train loss: 0.0436, Validation loss: 0.1453, Validation acc: 0.9564
Train loss: 0.0426, Validation loss: 0.1452, Validation acc: 0.9572
Train loss: 0.0426, Validation loss: 0.1906, Validation acc: 0.9422
Train loss: 0.0417, Validation loss: 0.1438, Validation acc: 0.9567
Train loss: 0.0403, Validation loss: 0.1494, Validation acc: 0.9557
Train loss: 0.0389, Validation loss: 0.1438, Validation acc: 0.9559
Train loss: 0.0374, Validation loss: 0.1535, Validation acc: 0.9561
Train loss: 0.0347, Validation loss: 0.1517, Validation acc: 0.9551
Train loss: 0.0346, Validation loss: 0.1479, Validation acc: 0.9572
Train loss: 0.0340, Validation loss: 0.1705, Validation acc: 0.9531
Train loss: 0.0338, Validation loss: 0.1472, Validation acc: 0.9567
Train loss: 0.0318, Validation loss: 0.1669, Validation acc: 0.9547
Train loss: 0.0317, Validation loss: 0.1525, Validation acc: 0.9583
Train loss: 0.0298, Validation loss: 0.1511, Validation acc: 0.9578
Train loss: 0.0296, Validation loss: 0.2603, Validation acc: 0.9230
Train loss: 0.0284, Validation loss: 0.1744, Validation acc: 0.9547
Train loss: 0.0282, Validation loss: 0.1559, Validation acc: 0.9585
Train loss: 0.0281, Validation loss: 0.1541, Validation acc: 0.9552
Train loss: 0.0254, Validation loss: 0.1597, Validation acc: 0.9565
